Lathe Tool Table,2025-02-05 19:28:49.509714 - v1,This must be the first line - do not edit
Tool number,Description,X offset,Y offset,Z offset,Nose Tip Radius,Front angle,Back angle,Orientation
1,parting carbide,0.0000000,0.0000000,0.0000000,0.0000000,-90.0000000,-90.0000000,2
2,face-turn carbide,0.0000000,0.0000000,0.0000000,0.0315000,-85.0000000,-5.0000000,2
3,face-turn carbide,0.0000000,0.0000000,0.0000000,0.0315000,-85.0000000,-5.0000000,2
4,face-turn carbide,0.0000000,0.0000000,0.0000000,0.0315000,-87.0000000,-52.0000000,2
5,threading carbide,0.0000000,0.0000000,0.0000000,0.0157500,-120.0000000,-60.0000000,6
6,".4"" ID Threading",0.0000000,0.0000000,0.0000000,0.0157500,120.0000000,60.0000000,8
7,"3/8"" ID Boring Bar",0.0000000,0.0000000,0.0000000,0.0157500,85.0000000,5.0000000,3
8,"5/8"" Stubby Drill",0.0000000,0.0000000,0.0000000,0.0157500,-15.0000000,15.0000000,7
9,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
10,na,0.0000000,0.0000000,0.0000000,0.0157500,120.0000000,60.0000000,8
11,"23/32"" ER Drill",0.0000000,0.0000000,0.0000000,0.0157500,-15.0000000,15.0000000,7
12,"5/8"" Stubby Drill",0.0000000,0.0000000,0.0000000,0.0157500,-15.0000000,15.0000000,7
13,"1/2"" long drill",0.0000000,0.0000000,0.0000000,0.0157500,-15.0000000,15.0000000,7
14,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
15,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
16,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
17,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
18,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
19,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
20,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
21,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
22,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
23,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
